sku,dates,price,qty
10230,29/04/19,1228.0,5
10230,30/04/19,1228.0,4
10230,01/05/19,1228.0,3
10230,02/05/19,1228.0,4
10230,03/05/19,1228.0,6
10230,04/05/19,1228.0,4
10230,05/05/19,1228.0,6
10230,06/05/19,1215.0,4
10230,07/05/19,1215.0,6
10230,08/05/19,1215.0,5
10230,09/05/19,1215.0,5
10230,10/05/19,1215.0,5
10230,11/05/19,1215.0,5
10230,12/05/19,1215.0,5
10230,13/05/19,1238.0,6
10230,14/05/19,1238.0,6
10230,15/05/19,1238.0,7
10230,16/05/19,1238.0,5
10230,17/05/19,1238.0,7
10230,18/05/19,1238.0,6
10230,19/05/19,1238.0,5
10230,20/05/19,1205.0,4
10230,21/05/19,1205.0,3
10230,22/05/19,1205.0,5
10230,23/05/19,1205.0,5
10230,24/05/19,1205.0,4
10230,25/05/19,1205.0,6
10230,26/05/19,1205.0,6
10230,27/05/19,1230.0,5
10230,28/05/19,1230.0,6
10230,29/05/19,1230.0,3
10230,30/05/19,1230.0,5
10230,31/05/19,1230.0,5
10230,01/06/19,1230.0,3
10230,02/06/19,1230.0,5
10230,03/06/19,1207.0,5
10230,04/06/19,1207.0,5
10230,05/06/19,1207.0,5
10230,06/06/19,1207.0,4
10230,07/06/19,1207.0,5
10230,08/06/19,1207.0,4
10230,09/06/19,1207.0,6
10230,10/06/19,1227.0,7
10230,11/06/19,1227.0,4
10230,12/06/19,1227.0,5
10230,13/06/19,1227.0,5
10230,14/06/19,1227.0,5
10230,15/06/19,1227.0,5
10230,16/06/19,1227.0,6
10230,17/06/19,1211.0,5
10230,18/06/19,1211.0,5
10230,19/06/19,1211.0,5
10230,20/06/19,1211.0,5
10230,21/06/19,1211.0,5
10230,22/06/19,1211.0,5
10230,23/06/19,1211.0,5
10230,24/06/19,1247.0,6
10230,25/06/19,1247.0,6
10230,26/06/19,1247.0,4
10230,27/06/19,1247.0,6
10230,28/06/19,1247.0,4
10230,29/06/19,1247.0,6
10230,30/06/19,1247.0,5
10230,01/07/19,1222.0,5
10230,02/07/19,1222.0,5
10230,03/07/19,1222.0,5
10230,04/07/19,1222.0,5
10230,05/07/19,1222.0,5
10230,06/07/19,1222.0,7
10230,07/07/19,1222.0,3
10230,08/07/19,1211.0,4
10230,09/07/19,1211.0,5
10230,10/07/19,1211.0,6
10230,11/07/19,1211.0,4
10230,12/07/19,1211.0,3
10230,13/07/19,1211.0,4
10230,14/07/19,1211.0,5
10230,15/07/19,1239.0,6
10230,16/07/19,1239.0,5
10230,17/07/19,1239.0,5
10230,18/07/19,1239.0,5
10230,19/07/19,1239.0,5
10230,20/07/19,1239.0,4
10230,21/07/19,1239.0,6
10230,22/07/19,1235.0,5
10230,23/07/19,1235.0,7
10230,24/07/19,1235.0,4
10230,25/07/19,1235.0,5
10230,26/07/19,1235.0,5
10230,27/07/19,1235.0,6
10230,28/07/19,1235.0,3
10230,29/07/19,1209.0,4
10230,30/07/19,1209.0,5
10230,31/07/19,1209.0,5
10230,01/08/19,1209.0,6
10230,02/08/19,1209.0,4
10230,03/08/19,1209.0,3
10230,04/08/19,1209.0,5
10230,05/08/19,1229.0,6
10230,06/08/19,1229.0,7
10230,07/08/19,1229.0,5
10230,08/08/19,1229.0,6
